Precio(€),Nombre,Procesador,Ranking Procesador,RAM (GB),Disco duro,Pantalla,Gráfica
949.0,MSI Modern 14 A10RAS-871XES,Intel Core I7-10510U,"[[438, 'Intel Core i7-10510U'], [267, 'Intel Core i7-10710U']]",16 GB,512GB SSD,"14""",MX330
2198.99,Asus Rog Strix G731GW-EV178,Intel Core i7-9750H,229,32 GB,1TB SSD,"17.3""",RTX 2070
353.68,HP 255 G7,AMD A4-9125,"[[1634, 'AMD A4-9120'], [1447, 'AMD A4-1250']]",8 GB,128Gb SSD,"15.6""",
835.72,Lenovo Yoga 530-14IKB,Intel Core i5-8250U,572,8 GB,256GB SSD,"14"" Táctil",
2899.0,Apple Macbook Pro,Intel Core i9,"[[480, 'Intel Core i7-980'], [950, 'Intel Core i7-975']]",16 GB,1TB SSD,"16"" Gris Espacial",Radeon Pro 5500M
469.0,Lenovo Ideapad 330-15IKB,Intel Core i3-7020U,1167,8 GB,256GB SSD,"15.6""",Radeon 530
899.99,Lenovo Legion Y540-15IRH-PG0,Intel Core i7-9750H,229,8 GB,512GB SSD,"15.6""",GTX1650
329.0,Lenovo IdeaPad 330-IKBR,Intel Core i3-8130U,904,4 GB,500GB,"15.6""",
764.51,Dell Inspiron 5593,Intel Core i5-1035G1,396,8 GB,512GB SSD,"15.6""",
1479.0,MSI Creator 17M A9SD-048XES,Intel Core i7-9750H,229,32 GB,1TB SSD,"17.3""",GTX 1660Ti
1199.0,Lenovo Legion Y540-15IRH,Intel Core i7-9750H,229,16 GB,1TB+256GB SSD,"15.6""",GTX1660Ti
898.99,Lenovo IdeaPad C340-14IML,Intel Core i7-10510U,438,8 GB,512GB SSD,"14"" Táctil",
549.0,Microsoft Surface Go,Intel 4415Y,"[[1477, 'Intel Pentium 4415Y']]",4 GB,"64GB 10"" + Funda Surface Go Type Cover + Ratón Surface Go",,
599.0,Lenovo Ideapad 330S-15IKB,Intel Core i5-8250U,572,8 GB,512GB SSD,"15.6""",
958.07,Lenovo Ideapad 530S-14IKB,Intel Core i7-8550U,590,8 GB,512GB SSD,"14"" Gris",MX130
422.12,HP 250 G7,Intel Core i3-7020U,1167,4 GB,500GB,"15.6""",
1379.0,MSI GS65 Stealth 9SD-1426XES,Intel Core i7-9750H,229,16 GB,512GB SSD,"15.6""",GTX 1660Ti
853.11,MSI GF63 Thin 9SC-047XES,Intel Corei7-9750H,"[[229, 'Intel Core i7-9750H'], [206, 'Intel Core i7-9750HF']]",16 GB,512GB SSD,"15.6"" Reacondicionado",GTX 1650
1299.0,Asus Rog Strix G531GV-AL172T,Intel Core i7-9750H,229,16 GB,1TB SSD,"15.6""",RTX2060
459.0,Lenovo V130-15IKB,Intel Core i3-7200U,"[[991, 'Intel Core i5-7200U'], [1109, 'Intel Core i3-7100U']]",8 GB,256 GB SSD,"15.6""",Radeon 530
239.95,Prixton Flex Pro,Intel Atom x5-Z8350,1775,4 GB,64GB,"11.6"" Táctil",
309.0,Asus X507MA-BR418T,Intel Celeron N4000,1531,4 GB,256GB SSD,"15.6""",
679.0,Acer Aspire 5 A514-52-58M7,Intel Core i5-10210U,513,8 GB,1TB SSD,"14""",
1099.99,Gigabyte Aorus 7 SA-7ES1330SD,Intel Core i7-9750H,229,16 GB,512GB SSD,"17.3""",GTX 1660Ti
1349.0,Gigabyte Classic-WA-7ES1130SD,Intel Core i7-9750H,229,16 GB,512GB SSD,"15.6""",RTX 2060
949.0,HP Pavilion Gaming 15-DK0019NS,Intel Core i5-9300H,376,16 GB,1TB SSD,"15.6""",GTX 1660Ti
1799.0,Asus Rog Zephyrus S GX701GWR-H6063T,Intel Core i7-9750H,229,16 GB,512GB SSD,"17.3""",RTX2070
345.0,HP Notebook 15-DA0251NS,Intel Celeron N4000,1531,8 GB,256GB SSD,"15.6""",
469.0,HP 15-DW0040NS,Intel Core i3-8130U,904,8 GB,256GB SSD,"15.6""",
1199.0,MSI Prestige 14 A10RB-021ES,Intel Core i7-10510U,438,16 GB,1TB SSD,"14""",MX250
1699.0,Asus Rog Strix SCAR III G531GW-AZ271T,Intel Core i7-9750H,229,16 GB,1TB SSD,"15.6""",RTX2070
706.31,Huawei MateBook D 14,AMD Ryzen 5 3500U,454,8 GB,512GB SSD,"14""",
499.0,Asus VivoBook Flip TP412FA-EC013T,Intel Core i3-8145U,912,4 GB,128GB SSD,"14"" Táctil",
454.6,Asus X409JA-BV065T,Intel Core i3-1005G1,698,8 GB,256GB SSD,"14""",
469.0,HP 15-DA0257NS,Intel Core i3-7020U,1167,8 GB,256GB SSD,"15.6""",MX110
1149.0,HP Pavilion 17-CD0008NS,Intel Core i7-9750H,229,16 GB,1TB SSD,"17.3""",GTX1650
229.0,Asus X507MA-BR365,Intel Celeron N4000,1531,4 GB,128GB SSD,"15.6""",
1249.0,Lenovo Legion Y540-15IRH,Intel Core i7-9750HF,206,16 GB,1TB+512GB SSD,"15.6""",GTX1660Ti
749.0,Lenovo Yoga 530-14IKB,Intel Core i5-8250U,572,8 GB,256GB SSD,"14"" Táctil",
425.0,Asus X509UA-BR113T,Intel Core i3-7200U,"[[991, 'Intel Core i5-7200U'], [1109, 'Intel Core i3-7100U']]",8 GB,256GB SSD,"15.6""",
499.0,Lenovo V130,Intel Core i3-8130U,904,8 GB,512GB SSD,"15.6""",Radeon 530
464.2,HP 15-DA0233NS,Intel Core i3-7020U,1167,8 GB,256GB SSD,"15.6""",MX110
949.0,HP Pavilion 14-CE3006NS,Intel Core i7-1065G7,312,16 GB,512GB SSD,"14""",MX250
619.0,Dell Vostro 3590,Intel Core i5-10210U,513,8 GB,256GB SSD,"15.6""",
289.0,Primux ioxbook Tour 1302F,Intel Celeron N3350,1663,4 GB,64GB eMMC,"13.3"" Táctil",
789.0,Dell Vostro 5490,Intel Core i5-10210U,513,8 GB,256GB SSD,"14""",
949.0,HP OMEN 15-DC1023NS,Intel Core i7-9750H,229,8 GB,512GB SSD,"15.6""",GTX 1650
799.0,Lenovo IdeaPad C340-14IML,Intel Core i5-10210U,513,8 GB,512GB SSD,"14"" Táctil",
1099.99,MSI GS63 Stealth 8RE-063XES,Intel Core i7-8750H,274,16 GB,512SSD,"15.6""",GTX1060
569.0,HP 15S-FQ1047NS,Intel Core i5-1035G1,396,8 GB,256GB SSD,"15.6""",
482.6,Lenovo V130-15IKB,Intel Core i3-7020U,1167,8 GB,512GB SSD,"15.6""",
289.0,HP 240 G7,Intel Celeron N4000,1531,4 GB,128GB SSD,"14""",
1548.99,Apple MacBook Pro,Intel Core i5 1.4GHz,"[[350, 'Intel Core i5-9400H'], [348, 'Intel Core i5-8400H']]",8 GB,256GB SSD,"13.3"" Plata",
1199.0,Apple MacBook Air,Intel Core i3,"[[1078, 'Intel Core i7-930'], [1479, 'Intel Core i3-560']]",8 GB,256GB SSD,"13.3"" Gris Espacial",
2859.0,Apple Macbook Pro,Intel Core i9,"[[480, 'Intel Core i7-980'], [950, 'Intel Core i7-975']]",16 GB,1TB SSD,"16"" Plata",Radeon Pro 5500M
549.0,Lenovo Ideapad 330S-15IKB,Intel Core i5-8250U,572,8 GB,256GB SSD,"15.6""",
1599.0,Asus Rog Zephyrus M GU502GV-AZ038T,Intel Core i7-9750H,229,16 GB,1TB SSD,"15.6""",RTX2060
2149.0,MSI GE75 Raider 9SF-1085ES,Intel Core i7-9750H,229,32 GB,1TB SSD,"17.3""",RTX 2070
1999.0,MSI GE75 Raider 9SF-1204XES,Intel Core i7-9750H,229,32 GB,1TB SSD,"17.3""",RTX 2070
